slug,common_name,sci_name,class,order,family,inat_photo_url,photo_credit_name,photo_credit_url,photo_license,photo_source_url,inat_species_url,iucn_url,local_profile_url,occurrence_text,conservation_state,rarity_note,natural_history
eastern-bluebird,Eastern Bluebird,Sialia sialis,Aves,Passeriformes,Turdidae,https://inaturalist-open-data.s3.amazonaws.com/photos/356151567/medium.jpeg,,,,,https://www.inaturalist.org/taxa/9176-Sialia-sialis,https://www.iucnredlist.org/species/103766554,https://myfwc.com/wildlifehabitats/profiles/birds/songbirds/eastern-bluebird/,Confirmed in 2025 UF DeLuca BioBlitz (Research Grade),IUCN: Least Concern; Florida: not listed; fairly common,Frequent breeder in pastures and open woodlands,Nest cavity nester; uses nest boxes; eats insects and berries.
drosera-capillaris,Pink Sundew,Drosera capillaris,Magnoliopsida,Caryophyllales,Droseraceae,https://inaturalist-open-data.s3.amazonaws.com/photos/476398852/large.jpg,garccyy,https://www.inaturalist.org/people/garccyy,CC BY-NC 4.0,https://www.inaturalist.org/observations/265241925,https://www.inaturalist.org/taxa/162094-Drosera-capillaris,,,Confirmed in 2025 UF DeLuca BioBlitz (Research Grade),,Common in wet flatwoods & bogs of SE US,Small carnivorous sundew; sticky leaves trap insects.
polites-vibex,Whirlabout,Polites vibex,Insecta,Lepidoptera,Hesperiidae,https://static.inaturalist.org/photos/309879111/medium.jpg,,,,,https://www.inaturalist.org/taxa/179855-Polites-vibex,,,Confirmed in 2025 UF DeLuca BioBlitz (Research Grade),,Often in open weedy areas; males perch near host grasses,Fast-flying skipper; sexes dimorphic; larvae on grasses.
alligator-mississippiensis,American Alligator,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,https://static.inaturalist.org/photos/343508251/medium.jpg,,,,,https://www.inaturalist.org/taxa/26159-Alligator-mississippiensis,,,Confirmed in 2025 UF DeLuca BioBlitz (Research Grade),IUCN: Least Concern; Florida: managed,Large apex predator of freshwater wetlands,"Recovered after conservation; basks on banks; eats fish, turtles, mammals."
setophaga-pinus,Pine Warbler,Setophaga pinus,Aves,Passeriformes,Parulidae,https://static.inaturalist.org/photos/475061161/large.jpeg,stevecollins,https://www.inaturalist.org/people/stevecollins,CC BY 4.0,https://www.inaturalist.org/observations/264561137,https://www.inaturalist.org/taxa/145244-Setophaga-pinus,,,Confirmed in 2025 UF DeLuca BioBlitz (Research Grade),IUCN: Least Concern; Florida: common in pines,Breeds in pine forests; trills; forages high,Feeds on insects & seeds; often at feeders in winter.
hypericum-tetrapetalum,Fourpetal St. Johnswort,Hypericum-tetrapetalum,Magnoliopsida,Malpighiales,Hypericaceae,https://inaturalist-open-data.s3.amazonaws.com/photos/475948051/large.jpg,lmcconachie,https://www.inaturalist.org/people/lmcconachie,CC BY-NC 4.0,https://www.inaturalist.org/observations/265046708,https://www.inaturalist.org/taxa/128076-Hypericum-tetrapetalum,,,,,,
apis-mellifera,Western Honey Bee,Apis mellifera,Insecta,Pterygota,Hymenoptera,https://inaturalist-open-data.s3.amazonaws.com/photos/475157015/large.jpg,billpranty,https://www.inaturalist.org/people/billpranty,CC BY-NC 4.0,https://www.inaturalist.org/observations/264609649,https://www.inaturalist.org/taxa/47219-Apis-mellifera,,,,,,
hyla-femoralis,Pine Woods Tree Frog,Hyla femoralis,Amphibia,Anura,Hylidae,https://static.inaturalist.org/photos/474895230/large.jpeg,andrewkunik,https://www.inaturalist.org/people/andrewkunik,CC BY-NC 4.0,https://www.inaturalist.org/observations/264463802,https://www.inaturalist.org/taxa/23872-Hyla-femoralis,,,,,,
sylvilagus-floridanus,Eastern Cottontail,Sylvilagus floridanus,Mammalia,Lagomorpha,Leporidae,https://static.inaturalist.org/photos/475138132/large.jpeg,stevecollins,https://www.inaturalist.org/people/stevecollins,CC BY 4.0,https://www.inaturalist.org/observations/264599543,https://www.inaturalist.org/taxa/43111-Sylvilagus-floridanus,,,,,,
